0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,FAKE
0.043,0.110021,-0.086839,-0.170922,-0.198315,-0.166736,0.149434,-0.125257,-0.0054,0.074386,0.101848,0.189846,0.244654,0.05266,0.35078,0.28065,0.258328,0.419165,0.360937,0.322741,-0.248114,0.001165,0.264675,0.181425,-0.055103,-0.422194,0.030067,-0.007646,-0.186793,-0.311089,-0.022197,-0.379683,-0.288659,0.327813,-0.067084,0.128185,0.09975,0.138907,-0.03061,0.155336,0.164484,-0.038259,0.32092,0.283757,-0.340842,-0.248111,-0.016609,0.128105,0.252627,0.010118,0.448526,-0.026635,0.443343,-0.195312,-0.185366,-0.607058,0.029053,0.126761,-0.105196,-0.175308,-0.201468,0.021817,0.123206,0.35074,-0.030831,-0.133113,0.065269,0.193337,-0.349069,0.168236,0.189874,-0.126241,-0.104716,0.366789,-0.106845,-0.033536,0.429518,0.395056,-0.17624,-0.403015,0.083781,0.148654,0.25292,-0.172068,0.153468,0.131704,-0.39169,0.023364,0.258374,-0.69724,0.259478,0.034004,-0.205128,-0.002496,0.006323,-0.090069,-0.239589,0.174955,0.060872,-0.20638,-0.092134,0.584779,0.196149,0.289015,-0.101028,0.110598,-0.164528,0.022369,0.139136,0.037327,0.070863,0.087798,0.175491,-1.07103,0.519873,0.442393,0.098361,0.477638,0.596596,0.377799,0.015153,-0.103497,0.268784,0.367869,0.264944,-0.098406,0.066198,0.127555,-0.033867,0.830713,0.157485,1
-0.398969,-0.341064,0.718827,0.626051,0.516513,0.623142,-0.876312,-0.696437,-0.130278,-0.247896,-0.158433,-0.17737,-0.15034,-0.283429,-0.504637,-0.403021,-0.231814,-0.288588,-0.923576,0.677069,1.32631,0.502141,-0.04241,0.902349,-1.28187,-0.006857,0.45378,-0.568003,-0.282548,1.02392,0.313013,0.846694,1.72875,-1.00678,1.00312,0.327286,-0.687174,-0.581158,1.33038,-0.19063,-0.191444,0.744164,-0.690758,-1.40084,-0.047677,1.43865,0.000371,-0.886806,-0.554771,-0.191284,-0.731259,1.35173,-0.16011,0.348435,0.512316,0.458645,-0.531124,-1.02854,-0.737779,-0.007891,-0.430711,-0.245376,-0.246855,-0.800381,-2.44973,0.56889,0.575066,-1.25018,1.73206,-0.10402,-1.3746,1.43238,1.0583,-1.08784,0.599331,1.43323,-0.556916,-1.03036,0.30356,1.06579,-0.361302,-1.08754,1.39537,0.203343,-0.904009,-1.03389,-0.085925,3.06445,0.213722,0.985319,-1.12292,1.63672,1.11318,-0.331971,-0.043572,0.39043,-0.224815,0.904914,-0.672759,0.904983,1.12278,0.160892,-0.225557,0.059819,-0.1421,0.025051,0.151562,2.64574,-0.805965,-0.637823,1.6208,-0.18359,-0.265913,0.399608,-0.222843,0.289378,0.03747,-1.05193,-0.134382,-0.023221,-0.059939,-0.160572,0.189616,-0.55318,0.801883,0.042388,1.38692,1.1513,-0.061911,0.860004,1.70589,1
-0.071846,0.027748,-0.165464,-0.275606,-0.243669,-0.336421,0.031703,-0.124697,-0.06843,-0.022377,0.040738,0.110886,0.309715,0.005584,0.131792,0.114964,0.060176,0.294816,0.200193,0.249285,0.155236,-0.124858,0.373774,0.213094,-0.035699,-0.580381,0.055264,-0.340959,-0.266648,-0.105469,0.000435,-0.0914,-0.042227,0.004522,0.080021,0.177927,-0.10809,0.016276,0.099434,-0.073072,0.107367,0.117633,0.435256,-0.04959,-0.201407,-0.256903,0.08044,-0.133573,0.04893,-0.126724,0.360162,0.012085,0.41737,-0.405701,-0.187515,-0.47664,-0.038383,-0.157227,-0.008286,-0.280156,-0.281387,0.027339,0.19298,0.23349,0.060123,0.063042,-0.259962,0.104828,-0.066157,0.010391,0.003935,-0.08131,0.003356,0.12972,0.10227,0.121539,0.507314,0.258435,-0.124104,-0.004315,0.170888,0.061237,0.1753,-0.17492,-0.169818,-0.010548,-0.170846,-0.522046,0.01678,-0.418149,0.097984,0.118182,-0.111299,-0.090043,0.121581,0.1155,0.019319,-0.016694,-0.279482,0.019929,-0.102246,0.022583,-0.12567,0.406984,-0.096914,0.110824,-0.051008,0.359218,-0.027913,0.115375,0.33643,-0.111905,0.144486,-0.71974,0.229688,0.493679,-0.093037,0.438288,0.499179,0.194518,-0.183155,0.071329,0.242704,0.412906,0.147788,-0.021267,0.186947,0.216478,0.090774,0.437139,0.27625,1
-0.007204,0.067718,-0.173453,-0.302867,-0.301366,-0.387891,0.006577,-0.191669,-0.165569,-0.118513,-0.054286,-0.0331,0.224965,-0.07401,0.099758,0.012838,0.005483,0.167406,0.172787,0.023835,-0.145048,-0.193778,0.331373,0.128964,-0.01283,-0.721686,0.01654,-0.304977,-0.268803,-0.128634,-0.063497,0.129804,-0.06636,0.043982,-0.046927,0.100704,0.009232,0.001093,-0.055102,-0.122006,-0.02361,-0.166125,0.310999,0.012953,-0.25976,-0.398867,-0.000974,-0.07359,0.028391,-0.05936,0.13682,-0.117623,0.316761,-0.416062,0.00648,-0.494041,-0.11435,-0.262367,-0.1849,-0.284651,-0.22618,0.02472,-0.244822,0.19235,-0.2056,0.141341,-0.16462,0.095849,-0.092312,0.042403,-0.151549,-0.187208,0.006688,0.142899,0.001001,0.044125,0.333178,0.113475,-0.123515,-0.312959,0.209433,0.027321,0.13195,-0.191984,-0.061002,-0.149102,-0.153133,0.125866,-0.072505,-0.423803,0.100188,-0.048068,-0.0681,0.127535,-0.013725,-0.131794,-0.100163,-0.052149,-0.127416,-0.066186,-0.089077,0.081116,-0.093121,0.327112,-0.054649,-0.027475,-0.020547,0.210245,-0.070217,0.146923,0.131397,-0.063798,0.005458,-0.494654,0.258786,0.648669,0.127812,0.402715,0.475856,0.057191,-0.070897,0.095234,0.268524,0.38029,0.208657,0.059149,-0.002255,0.220404,0.186096,0.319391,0.118083,1
-0.093224,0.035621,-0.219212,-0.31548,-0.21567,-0.36478,-0.096996,-0.263583,-0.277965,-0.21193,-0.148383,-0.093206,0.119969,-0.17445,-0.088841,-0.020825,-0.113028,0.163935,0.292825,0.131367,0.263178,0.175086,0.326239,0.257662,0.198315,-0.493588,0.059645,-0.098995,-0.287247,-0.144984,-0.08192,-0.188642,0.045171,-0.155374,0.069991,0.160976,-0.293398,0.151874,-0.140867,-0.067724,0.078069,-0.144519,0.179172,0.143199,-0.006054,-0.19232,0.214111,0.125537,0.153611,-0.131688,0.491508,0.20155,0.180414,-0.350283,-0.215253,-0.400369,-0.220631,-0.122041,-0.171994,-0.178294,-0.258959,0.021039,0.202057,0.076976,-0.026987,-0.066987,-0.024723,-0.171973,-0.211257,0.009753,-0.171108,-0.357067,-0.130547,0.038443,-0.161354,-0.092561,0.183813,0.142125,-0.108241,-0.217236,-0.059083,-0.094242,0.077328,-0.273119,-0.22555,0.032147,-0.316971,0.107201,-0.066994,-0.491777,0.035436,-0.022925,-0.096093,-0.177928,-0.046188,0.230367,-0.154827,0.009111,-0.1725,-0.031532,-0.149729,-0.139138,-0.065403,-0.098826,-0.140458,-0.153053,-0.152906,0.202915,0.011289,-0.009189,0.362369,-0.052466,0.140061,-0.669563,-0.049524,0.387451,0.007164,0.289551,0.415898,0.218478,-0.07098,0.049451,0.311428,0.055924,0.070911,0.1172,0.13071,-0.121127,-0.149209,0.38308,-0.037688,1
-0.298779,-0.082161,-0.077892,-0.156087,-0.276482,-0.1753,1.59741,1.83,1.46354,1.52571,1.45229,1.56505,1.8462,1.48135,1.61284,1.3547,1.48079,1.6658,0.525579,0.81203,0.353256,1.31827,1.41626,1.53991,1.55802,-0.104646,1.22816,0.23212,0.103408,0.200707,0.960933,0.926117,1.04547,0.291623,1.28063,0.876688,0.338936,0.030898,0.791592,1.18322,0.897985,0.385983,0.089537,0.932439,0.139371,0.580946,0.356196,0.81103,0.533374,0.156782,0.590815,1.0802,1.28224,0.500581,0.106064,0.771801,-0.176916,1.34694,-0.403147,1.01031,0.799138,0.809655,0.077063,0.842396,-0.24589,0.039179,0.52177,-0.542855,0.240812,0.189902,0.379282,-0.166442,1.09801,0.301081,0.43715,1.23375,0.705391,0.586777,0.218379,-0.192879,0.142009,0.588083,0.979389,0.448089,-0.009546,0.399706,-0.292328,0.090685,1.17824,0.099854,0.726857,-0.331589,0.609098,-0.829913,0.504871,0.278532,-0.551345,0.528778,1.1594,-0.259864,0.779779,0.320594,0.770039,-0.198429,-0.009457,1.09208,-0.028972,0.898552,0.269878,-0.269206,1.4457,1.30792,0.441526,0.291032,0.815414,2.9377,0.33022,0.515332,1.76329,0.090374,1.00754,0.197472,0.319531,0.151927,0.551046,1.47409,0.137711,0.752873,1.25765,1.16099,-0.175044,1
0.022416,0.015881,-0.080411,-0.182416,-0.113123,-0.246989,0.402432,0.277335,0.335836,0.431703,0.407125,0.511512,0.609659,0.50002,0.603958,0.751171,0.540994,0.807619,0.399746,0.489185,0.071988,0.019248,0.519543,0.345741,0.24144,-0.64325,-0.00582,-0.246933,-0.398245,-0.304869,0.386511,0.146347,0.288221,0.389405,0.387446,0.585922,-0.118823,0.465605,0.588712,-0.102579,0.449212,0.406694,0.540075,0.514906,0.264988,-0.347928,0.389293,0.034095,0.391166,0.146173,0.682904,0.156625,0.492145,-0.295336,-0.429521,-0.563914,-0.152647,0.066125,-0.268003,-0.223856,-0.491707,-0.056896,-0.02599,0.529707,0.132146,-0.181375,-0.488307,0.016896,0.163278,0.109147,0.406966,0.431268,0.008958,0.041862,0.358038,0.284291,0.336081,0.469031,0.035324,0.051155,-0.047791,0.08585,0.344989,0.174744,-0.131536,0.306348,-0.447323,0.468285,0.169119,-0.63037,0.320717,-0.026253,-0.246558,0.243754,0.253541,0.087686,-0.384131,-0.12427,-0.132336,0.014182,-0.051865,0.043185,-0.228388,0.362722,-0.085889,0.221142,0.259673,0.315419,0.086451,0.313645,0.423385,-0.341935,0.410234,-1.15162,0.411555,0.431679,-0.25391,0.586829,0.899786,0.655539,-0.168801,0.445198,0.309692,0.259337,0.496485,0.094551,0.472088,0.46117,0.446066,0.616275,0.3949,1
0.18388,0.161974,0.149099,-0.01681,-0.111178,-0.067011,-0.126245,-0.341711,-0.212042,-0.201873,-0.199215,-0.207908,-0.243443,-0.129837,0.097041,-0.07483,0.032547,0.174212,-0.043882,0.195111,0.116046,0.035005,0.480929,0.273537,-0.157876,-0.255713,-0.14119,-0.388139,-0.270808,-0.36463,-0.173758,0.277036,-0.462764,-0.070021,0.205767,-0.094676,-0.014591,0.116836,0.174739,0.026678,0.172901,0.281028,-0.095939,0.004297,-0.103979,-0.748051,-0.058183,-0.168623,0.086674,0.12145,0.154113,-0.606124,-0.111348,-0.237193,-0.084966,-0.529097,-0.130473,-0.517778,-0.66305,-0.248414,-0.291503,-0.0096,0.053284,-0.136442,0.046711,-0.122488,-0.410757,-0.106835,0.075612,-0.201188,0.17897,0.198344,-0.022549,-0.235386,0.06419,-0.450273,-0.020021,0.059542,-0.383178,-0.327472,0.061527,-0.338905,-0.426964,-0.105483,-0.15602,-0.142942,-0.363364,0.020869,-0.268812,-0.374295,-0.08644,-0.04333,-0.19405,-0.427713,-0.306717,-0.540984,0.195782,-0.172206,-0.427512,-0.180282,-0.345223,-0.177922,-0.016974,-0.263472,-0.025417,-0.114518,-0.235976,-0.15563,-0.420597,-0.295656,-0.06703,-0.136811,0.031703,-1.17357,-0.029702,0.241784,0.255846,-0.003249,-0.014501,-0.129989,0.060297,0.052568,0.188416,-0.142442,-0.051091,-0.40237,0.046032,-0.406355,0.044774,-0.189153,-0.221272,1
0.184324,0.216309,0.19293,0.061746,-0.051356,-0.039655,1.0772,0.789323,0.764902,0.84687,0.759825,0.858908,0.846461,0.832283,1.0505,1.26989,1.02764,1.26802,0.780423,0.57897,-0.20126,0.334765,-0.354812,0.720262,1.07478,0.555425,0.010041,0.905078,0.016904,-0.68334,0.584314,-0.530431,-0.199682,1.49754,-0.077027,-0.231819,0.438027,0.813436,-0.218011,0.806914,0.703841,0.670059,1.01364,1.19681,-0.14223,0.061048,0.577384,1.23247,0.779309,0.379378,1.90395,-0.194822,0.389576,0.643645,-0.102605,-0.669633,-0.163805,0.736237,-0.759497,0.225208,-0.481109,-0.46792,0.415808,0.898496,0.549088,0.325883,0.811471,0.751331,0.136636,-0.322945,1.11373,-0.694802,-0.097513,1.95931,0.166989,-0.1223,1.33066,1.65211,0.07581,-0.665189,0.262154,1.0335,0.032398,0.416432,1.09289,1.6599,-0.582543,-0.038814,0.719554,-0.305648,0.33057,-1.1985,-0.672278,0.460557,0.550951,-0.392024,-0.459278,-0.192841,0.649903,-1.55337,-0.575524,1.103,0.289566,-0.278843,0.294651,0.272898,-0.125235,-0.218539,0.939178,0.093519,0.597475,0.75405,0.461056,-0.718026,1.47861,1.69453,0.446268,1.0199,1.93266,1.13597,0.746706,0.155816,0.514335,0.425639,0.668435,0.24889,0.53619,0.498527,0.900619,1.35992,-0.079729,1
0.330544,0.275208,-0.067691,-0.156536,-0.236298,-0.186352,0.291055,-0.107246,0.154259,0.196001,0.138526,0.215756,0.101255,0.112958,0.342667,0.40951,0.341042,0.542302,0.184977,0.225831,0.118154,0.003672,0.305877,0.230183,0.156208,-0.286297,-0.099427,-0.102558,-0.186706,-0.060194,-0.172272,-0.442419,-0.074986,0.472376,-0.016512,-0.114505,0.2562,0.151876,0.127404,0.132573,0.358838,0.226087,0.238703,0.372669,-0.103342,-0.1142,-0.055296,0.209139,0.155857,0.28107,0.58307,0.117772,0.245986,-0.355847,0.223815,-0.356646,0.286424,0.099254,-0.007468,0.012631,-0.1481,-0.039975,0.70432,0.251397,0.294813,0.16942,0.227911,0.865627,0.204242,-0.429216,0.250518,0.001054,-0.047566,0.04125,-0.17587,-0.330746,0.239089,0.455523,-0.175789,-0.219971,0.117338,-0.256628,0.431078,-0.109073,0.269032,0.269127,-0.232411,-0.060963,0.214732,0.00288,0.214884,0.141006,-0.067218,0.881253,-0.218615,-0.235236,0.095465,-0.252113,-0.069347,-0.300111,-0.27154,0.291035,-0.173914,0.618846,-0.039495,-0.013888,0.070889,-0.094703,-0.036767,-0.025133,0.027951,0.048054,0.148095,-0.51972,0.672995,0.122147,0.168621,0.382582,0.471301,0.330155,-0.225052,-0.027293,0.653136,0.99442,0.261627,0.227873,0.195738,0.191951,-0.138064,0.809798,-0.065726,1
